brand,replies,pairs,unique_customers,days_active,span_days,first_turn_share,thread_size_p50,thread_size_mean,dm_rate,reply_url_share,substantive_public_share,reply_uniqueness,top10_template_share,reply_len_p50,cust_len_p50,cust_short_share,cust_non_english_share,latency_p50_min,cluster_entropy,silhouette,embedding_spread
AskeBay,9686,9612,4963,98,700,0.6570952975447357,4.0,5.872763212650853,0.2838119017894299,0.1826883062838119,0.6878901373283396,0.9924053266749896,0.005305867665418227,131.0,126.0,0.03110694964627549,0.0009363295880149813,399.70000000000005,,,
airtel_care,9881,9402,2818,155,1195,0.6570942352690917,6.0,12.639225696660285,0.18783237609019357,0.027866411401829397,0.692724952137843,0.5262710061689002,0.09519251223144012,114.0,100.0,0.04967028291852797,0.0021272069772388853,738.5583333333334,,,
AirbnbHelp,8875,8820,5361,86,510,0.745578231292517,3.0,5.0081632653061225,0.5896825396825397,0.1810657596371882,0.39206349206349206,0.9781179138321996,0.013605442176870748,143.0,129.0,0.022675736961451247,0.002380952380952381,8.7,,,
ChaseSupport,8811,8707,6677,103,1610,0.8362237280349144,2.0,3.5943493740668426,0.4792695532330309,0.49109911565407144,0.4819111060066613,0.8198001607901688,0.027334328701045137,132.0,112.0,0.031124382680601814,0.0005742506029631331,71.55,,,
McDonalds,8478,8427,8199,84,1676,0.9619081523673906,2.0,8.271152248724338,0.006882639136110123,0.09006763972944108,0.7141331434674262,0.6519520588584312,0.07559036430520945,76.0,55.0,0.09540761836952652,0.000711997152011392,636.4,,,
JetBlue,8020,7956,4628,88,2709,0.7341628959276018,4.0,4.731649069884364,0.10696329813976872,0.19230769230769232,0.6523378582202112,0.9400452488687783,0.04172951231774761,97.0,113.0,0.029286073403720463,0.0005027652086475615,3.566666666666667,,,
AldiUK,8114,7846,6327,70,1560,0.8728014274789702,2.0,7.681238847820546,0.2935253632424165,0.04843232220239613,0.48687229161356105,0.8529186846800918,0.07417792505735407,114.0,115.0,0.0062452204945195,0.00038236043843996943,69.10833333333333,,,
CoxHelp,7861,7813,4320,76,1456,0.6964034301804685,4.0,5.590938179956483,0.4419557148342506,0.16498144118776398,0.5090234225009599,0.8781517982849097,0.04991680532445923,115.0,103.0,0.03942147702547037,0.0002559836170485089,19.633333333333333,,,
Ask_WellsFargo,7578,7559,5585,93,1895,0.8477311813731975,2.0,3.7272125942585,0.38259028972086256,0.44185738854345813,0.5744146051064956,0.9420558274904088,0.016801164175155443,135.0,90.0,0.046434713586453236,0.0006614631565021828,68.1,,,
AlaskaAir,7478,7412,4736,74,1182,0.7794117647058824,3.0,5.424851592012952,0.13289260658391797,0.17862924986508366,0.6079330814894766,0.940636805180788,0.016999460334592553,86.0,117.0,0.022800863464651915,0.0,3.5,,,
HPSupport,7200,7145,3717,98,895,0.904408677396781,3.0,4.1603918824352695,0.3899230230930721,0.5871238628411477,0.6020993701889433,0.5909027291812456,0.14667599720083974,134.0,109.0,0.011756473058082575,0.0013995801259622112,222.11666666666667,,,
AzureSupport,7565,7010,2775,79,325,0.5804564907275321,6.0,7.45320970042796,0.19500713266761768,0.4115549215406562,0.6981455064194009,0.7734664764621969,0.04550641940085592,103.0,113.0,0.031241084165477887,0.006419400855920114,3.2,,,
LondonMidland,6822,6498,3050,63,599,0.5795629424438289,5.0,7.6355801785164665,0.010464758387196061,0.056017236072637734,0.7442289935364728,0.9627577716220376,0.014465989535241613,94.5,112.0,0.01123422591566636,0.0,4.616666666666666,,,
GloCare,6308,6300,2399,112,1341,0.5796825396825397,6.0,10.285714285714286,0.016984126984126983,0.029206349206349208,0.8387301587301588,0.7590476190476191,0.07476190476190477,101.0,101.0,0.06634920634920635,0.0,53.99166666666667,,,
DropboxSupport,5954,5938,3173,65,192,0.7460424385314921,4.0,7.207140451330415,0.1993937352643988,0.25109464466150216,0.7482317278544964,0.94004715392388,0.01835634893903671,142.0,123.0,0.009262377905018524,0.0030313236780060626,1387.5666666666666,,,
DellCares,5336,5210,1763,82,812,0.7562380038387716,6.0,7.744145873320537,0.38426103646833015,0.21170825335892515,0.5859884836852207,0.9552783109404991,0.01727447216890595,133.0,130.0,0.02744721689059501,0.0007677543186180423,45.9,,,
