,brand,score,pairs,unique_customers,days_active,cluster_entropy,embedding_spread,substantive_public_share,reply_uniqueness,top10_template_share,thread_size_mean,first_turn_share,dm_rate,cust_non_english_share,cust_short_share,latency_p50_min
47,JetBlue,-0.2746442266577458,7956,4628,88,,,0.6523378582202112,0.9400452488687784,0.0417295123177476,4.731649069884364,0.7341628959276018,0.1069632981397687,0.0005027652086475,0.0292860734037204,3.566666666666667
48,ChaseSupport,-0.2791529922721979,8707,6677,103,,,0.4819111060066613,0.8198001607901688,0.0273343287010451,3.594349374066842,0.8362237280349144,0.4792695532330309,0.0005742506029631,0.0311243826806018,71.55
49,TfL,-0.33415220556460856,2213,1540,67,,,0.8761861726163579,0.945774966109354,0.0370537731586082,4.230004518752824,0.8413917758698599,0.027112516945323,0.0,0.0239493899683687,37.78333333333333
50,AzureSupport,-0.37230669477975736,7010,2775,79,,,0.6981455064194009,0.7734664764621969,0.0455064194008559,7.45320970042796,0.5804564907275321,0.1950071326676176,0.0064194008559201,0.0312410841654778,3.2
51,VirginAmerica,-0.3846856096900163,2802,1918,69,,,0.5970735189150607,0.9550321199143468,0.0214132762312633,4.197715917201998,0.7815845824411135,0.1366880799428979,0.0,0.0167737330478229,3.6166666666666663
52,Walmart,-0.3947142368710168,2608,2364,62,,,0.7032208588957055,0.995398773006135,0.0080521472392638,2.785659509202454,0.9305981595092024,0.0015337423312883,0.0,0.0184049079754601,113.65
53,AdobeCare,-0.3986482840196857,9858,4643,89,,,0.8448975451410022,0.7651653479407587,0.1158449989855954,7.213937918441875,0.6137147494420775,0.0912964090079123,0.0007100831811726,0.0177520795293162,27.991666666666667
54,ATT,-0.4358234455297864,2716,2187,74,,,0.3722385861561119,0.959499263622975,0.03240058910162,6.960235640648012,0.7997054491899853,0.5802650957290133,0.0003681885125184,0.0250368188512518,49.15
55,AldiUK,-0.45804894324553896,7846,6327,70,,,0.486872291613561,0.8529186846800918,0.074177925057354,7.681238847820546,0.8728014274789702,0.2935253632424165,0.0003823604384399,0.0062452204945195,69.10833333333333
56,GloCare,-0.5200314653570985,6300,2399,112,,,0.8387301587301588,0.7590476190476191,0.0747619047619047,10.285714285714286,0.5796825396825397,0.0169841269841269,0.0,0.0663492063492063,53.99166666666667
57,AskAmex,-0.7637058062969838,11090,3976,96,,,0.8384129846708747,0.7045085662759243,0.0773669972948602,7.184129846708746,0.5856627592425608,0.0165915238954012,9.017132551848512e-05,0.0927862939585211,16.0
58,GreggsOfficial,-0.7928940886889799,4487,3296,64,,,0.2308892355694227,0.8803209271227992,0.0439046133273902,7.170269667929574,0.7686650323155784,0.1707154000445732,0.0002228660574994,0.0033429908624916,37.13333333333333
59,airtel_care,-0.8615667207000681,9402,2818,155,,,0.692724952137843,0.5262710061689002,0.0951925122314401,12.639225696660285,0.6570942352690917,0.1878323760901935,0.0021272069772388,0.0496702829185279,738.5583333333334
60,UPSHelp,-0.8680007899154358,17762,14614,75,0.9645120089052444,0.8675394058227539,0.2987276207634275,0.7516608490034906,0.0905303456817925,3.5164395901362457,0.9107645535412678,0.6838193897083662,0.0008444994933003,0.0163269902038058,13.966666666666669
61,askpanera,-0.8906338932967288,2152,1940,70,,,0.3150557620817844,0.8968401486988847,0.0450743494423791,2.6733271375464684,0.9233271375464684,0.6779739776951673,0.0,0.0023234200743494,8.091666666666667
62,HPSupport,-1.0080867972676497,7145,3717,98,,,0.6020993701889433,0.5909027291812456,0.1466759972008397,4.1603918824352695,0.904408677396781,0.3899230230930721,0.0013995801259622,0.0117564730580825,222.11666666666667
63,AskPayPal,-1.0821315327109249,11239,9437,98,,,0.2485986297713319,0.7709760654862532,0.0520508942076697,4.834237921523267,0.8837974908799715,0.7260432422813418,0.0038259631639825,0.0314084882996707,1048.4
64,AskPapaJohns,-1.131917084874571,3892,3149,77,,,0.2487153134635149,0.8389003083247688,0.1022610483042137,3.875128468653649,0.8478931140801644,0.6276978417266187,0.0,0.0218396711202466,8.508333333333333
65,McDonalds,-1.332424498316828,8427,8199,84,,,0.7141331434674262,0.6519520588584312,0.0755903643052094,8.271152248724338,0.9619081523673906,0.0068826391361101,0.0007119971520113,0.0954076183695265,636.4
66,AskLyft,-1.4622616610183545,11782,9407,89,,,0.4118995077236462,0.5963333899168223,0.2051434391444576,4.13325411644882,0.9123238838906808,0.554150398913597,0.0003395009336275,0.0198608046172126,6.433333333333334
67,CenturyLinkHelp,-1.9471202982132059,3793,2696,71,,,0.200105457421566,0.6583179541260216,0.1708410229369892,4.941734774584761,0.8771421038755602,0.7822304244661218,0.0002636435539151,0.0142367519114157,6.35
68,Postmates_Help,-1.982593141715739,3336,2846,71,,,0.1729616306954436,0.6534772182254197,0.1699640287769784,3.491906474820144,0.9166666666666666,0.7721822541966427,0.0,0.0041966426858513,2.35
69,TacoBellTeam,-2.1817019523219505,4081,3089,72,,,0.1820632197990688,0.3312913501592747,0.2063219799068855,3.5052683165890715,0.7730948296986033,0.4013722126929674,0.0,0.0161725067385444,299.8333333333333
70,KFC_UKI_Help,-2.996843903622364,2098,1998,73,,,0.2440419447092469,0.486653956148713,0.369399428026692,2.761201143946616,0.9718779790276454,0.7040038131553861,0.0,0.0023832221163012,66.8
